fpl_id,name,team,position,price,total_points,minutes,PP90,PP90PM,goals,assists,clean_sheets,bonus,bps,form,goals_conceded,yellow_cards,red_cards,saves,penalties_missed,penalties_saved,team_code
253,Salah,LIV,M,13.0,8,86,8.37,0.64,1,0,1,0,20,8.0,0,0,0,0,0,0,14
372,Kane,TOT,F,12.5,1,90,1.0,0.08,0,0,0,0,5,1.0,1,1,0,0,0,0,6
23,Aubameyang,ARS,F,11.0,2,90,2.0,0.18,0,0,0,0,5,2.0,2,0,0,0,0,0,3
270,Sterling,MCI,M,11.0,7,86,7.33,0.67,1,0,1,0,22,7.0,0,1,0,0,0,0,43
306,Lukaku,MUN,F,11.0,1,23,3.91,0.36,0,0,0,0,-2,1.0,1,0,0,0,0,0,1
280,Agüero,MCI,F,11.0,2,78,2.31,0.21,0,0,1,0,4,2.0,0,0,0,0,0,0,43
295,Sánchez,MUN,M,10.5,5,90,5.0,0.48,0,1,0,0,22,5.0,1,0,0,0,0,0,1
281,Jesus,MCI,F,10.5,1,11,8.18,0.78,0,0,0,0,1,1.0,0,0,0,0,0,0,43
122,Hazard,CHE,M,10.5,4,14,25.71,2.45,0,1,0,0,21,4.0,0,0,0,0,0,0,8
273,De Bruyne,MCI,M,9.9,0,30,0.0,0.0,0,0,0,0,0,0.0,0,1,0,0,0,0,43
251,Mané,LIV,M,9.6,16,81,17.78,1.85,2,0,1,3,52,16.0,0,0,0,0,0,0,14
22,Lacazette,ARS,F,9.5,1,36,2.5,0.26,0,0,0,0,-4,1.0,1,0,0,0,0,0,3
257,Firmino,LIV,F,9.5,5,68,6.62,0.7,0,1,1,0,23,5.0,0,0,0,0,0,0,14
275,Sané,MCI,M,9.5,1,3,30.0,3.16,0,0,0,0,3,1.0,0,0,0,0,0,0,43
364,Eriksen,TOT,M,9.5,2,90,2.0,0.21,0,0,0,0,15,2.0,1,0,0,0,0,0,6
365,Alli,TOT,M,9.0,9,79,10.25,1.14,1,0,0,2,34,9.0,1,0,0,0,0,0,6
223,Mahrez,MCI,M,9.0,1,59,1.53,0.17,0,0,0,0,4,1.0,0,0,0,0,0,0,43
234,Vardy,LEI,F,9.0,6,27,20.0,2.22,1,0,0,1,25,6.0,1,0,0,0,0,0,13
134,Morata,CHE,F,9.0,2,90,2.0,0.22,0,0,1,0,1,2.0,0,0,0,0,0,0,8
13,Özil,ARS,M,8.5,2,90,2.0,0.24,0,0,0,0,10,2.0,2,0,0,0,0,0,3
367,Son,TOT,M,8.4,1,10,9.0,1.07,0,0,0,0,7,1.0,0,0,0,0,0,0,6
302,Pogba,MUN,M,8.1,10,83,10.84,1.34,1,0,1,2,29,10.0,0,0,0,0,0,0,1
276,Bernardo Silva,MCI,M,7.6,8,90,8.0,1.05,1,0,1,0,23,8.0,0,0,0,0,0,0,43
124,Willian,CHE,M,7.5,6,75,7.2,0.96,0,1,1,0,17,6.0,0,0,0,0,0,0,8
256,Keita,LIV,M,7.5,3,90,3.0,0.4,0,0,1,0,15,3.0,0,0,0,0,0,0,14
172,Sigurdsson,EVE,M,7.5,1,43,2.09,0.28,0,0,0,0,0,1.0,0,0,0,0,0,0,11
14,Ramsey,ARS,M,7.5,1,53,1.7,0.23,0,0,0,0,7,1.0,1,0,0,0,0,0,3
462,Shaqiri,LIV,M,7.4,1,8,11.25,1.52,0,0,0,0,1,1.0,0,0,0,0,0,0,14
415,Antonio,WHU,M,7.0,1,90,1.0,0.14,0,0,0,0,5,1.0,4,1,0,0,0,0,21
177,Tosun,EVE,F,7.0,5,80,5.62,0.8,0,1,0,0,18,5.0,2,0,0,0,0,0,11
59,Groß,BHA,M,7.0,1,59,1.53,0.22,0,0,0,0,6,1.0,2,0,0,0,0,0,36
305,Rashford,MUN,F,7.0,2,66,2.73,0.39,0,0,1,0,13,2.0,0,0,0,0,0,0,1
151,Zaha,CRY,F,7.0,5,90,5.0,0.71,1,0,1,0,17,5.0,0,1,0,0,0,0,31
370,Lucas Moura,TOT,M,7.0,2,67,2.69,0.38,0,0,0,0,8,2.0,1,0,0,0,0,0,6
476,Jahanbakhsh,BHA,M,7.0,1,19,4.74,0.68,0,0,0,0,3,1.0,0,0,0,0,0,0,36
18,Mkhitaryan,ARS,M,7.0,2,90,2.0,0.29,0,0,0,0,11,2.0,2,0,0,0,0,0,3
465,Felipe Anderson,WHU,M,7.0,2,61,2.95,0.42,0,0,0,0,10,2.0,3,0,0,0,0,0,21
417,Arnautovic,WHU,F,7.0,2,66,2.73,0.39,0,0,0,0,-1,2.0,3,0,0,0,0,0,21
453,Yarmolenko,WHU,M,7.0,1,23,3.91,0.56,0,0,0,0,3,1.0,1,0,0,0,0,0,21
393,Richarlison,EVE,M,6.6,14,85,14.82,2.25,2,0,0,3,46,14.0,2,1,0,0,0,0,11
265,Walker,MCI,D,6.5,7,90,7.0,1.08,0,0,1,1,27,7.0,0,0,0,0,0,0,43
115,Alonso,CHE,D,6.5,11,90,11.0,1.69,0,1,1,2,32,11.0,0,0,0,0,0,0,8
62,Murray,BHA,F,6.5,2,90,2.0,0.31,0,0,0,0,1,2.0,2,0,0,0,0,0,36
164,Walcott,EVE,M,6.5,2,90,2.0,0.31,0,0,0,0,6,2.0,2,0,0,0,0,0,11
87,Wood,BUR,F,6.5,2,72,2.5,0.38,0,0,1,0,2,2.0,0,0,0,0,0,0,90
150,Milivojevic,CRY,M,6.5,3,90,3.0,0.46,0,0,1,0,16,3.0,0,0,0,0,0,0,31
113,Azpilicueta,CHE,D,6.5,6,90,6.0,0.92,0,0,1,0,29,6.0,0,0,0,0,0,0,8
184,Sessegnon,FUL,M,6.5,2,90,2.0,0.31,0,0,0,0,6,2.0,2,0,0,0,0,0,54
326,Pérez,NEW,F,6.5,2,80,2.25,0.35,0,0,0,0,9,2.0,2,0,0,0,0,0,4
346,Elyounoussi,SOU,M,6.5,1,34,2.65,0.41,0,0,0,0,6,1.0,0,0,0,0,0,0,20
480,Mitrovic,FUL,F,6.5,2,90,2.0,0.31,0,0,0,0,3,2.0,2,0,0,0,0,0,54
125,Pedro,CHE,M,6.5,9,80,10.12,1.56,1,0,1,1,31,9.0,0,0,0,0,0,0,8
419,Chicharito,WHU,F,6.5,1,28,3.21,0.49,0,0,0,0,3,1.0,1,0,0,0,0,0,21
432,Jota,WOL,M,6.5,5,90,5.0,0.77,0,1,0,0,15,5.0,2,0,0,0,0,0,39
233,Maddison,LEI,M,6.5,2,62,2.9,0.45,0,0,0,0,10,2.0,1,0,0,0,0,0,13
152,Benteke,CRY,F,6.5,2,82,2.2,0.34,0,0,1,0,9,2.0,0,0,0,0,0,0,31
297,Mata,MUN,M,6.5,5,90,5.0,0.77,0,1,0,0,24,5.0,1,0,0,0,0,0,1
45,King,BOU,F,6.5,2,90,2.0,0.31,0,0,1,0,1,2.0,0,0,0,0,0,0,91
267,Mendy,MCI,D,6.1,15,90,15.0,2.46,0,2,1,3,46,15.0,0,0,0,0,0,0,43
391,Pereyra,WAT,M,6.1,16,86,16.74,2.74,2,0,1,3,56,16.0,0,0,0,0,0,0,57
317,Ritchie,NEW,M,6.0,5,68,6.62,1.1,0,1,0,0,19,5.0,2,0,0,0,0,0,4
236,Iheanacho,LEI,F,6.0,2,90,2.0,0.33,0,0,0,0,2,2.0,2,0,0,0,0,0,13
472,Sturridge,LIV,F,6.0,5,3,150.0,25.0,1,0,0,0,26,5.0,0,0,0,0,0,0,14
488,Muto,NEW,F,6.0,1,9,10.0,1.67,0,0,0,0,5,1.0,0,0,0,0,0,0,4
85,Barnes,BUR,F,6.0,1,14,6.43,1.07,0,0,0,0,4,1.0,0,0,0,0,0,0,90
396,Deeney,WAT,F,6.0,2,90,2.0,0.33,0,0,1,0,2,2.0,0,0,0,0,0,0,57
395,Gray,WAT,F,6.0,2,73,2.47,0.41,0,0,1,0,8,2.0,0,0,0,0,0,0,57
390,Doucouré,WAT,M,6.0,3,90,3.0,0.5,0,0,1,0,16,3.0,0,0,0,0,0,0,57
76,Gudmundsson,BUR,M,6.0,3,86,3.14,0.52,0,0,1,0,6,3.0,0,0,0,0,0,0,90
478,Schürrle,FUL,M,6.0,2,60,3.0,0.5,0,0,0,0,8,2.0,1,0,0,0,0,0,54
43,Wilson,BOU,F,6.0,8,90,8.0,1.33,1,1,1,1,31,8.0,0,0,0,0,1,0,91
304,Fred,MUN,M,6.0,2,75,2.4,0.4,0,0,1,0,8,2.0,0,1,0,0,0,0,1
356,Davies,TOT,D,6.0,2,90,2.0,0.33,0,0,0,0,15,2.0,1,0,0,0,0,0,6
211,Mounie,HUD,F,6.0,2,90,2.0,0.33,0,0,0,0,2,2.0,3,0,0,0,0,0,38
127,Barkley,CHE,M,6.0,3,67,4.03,0.67,0,0,1,0,12,3.0,0,0,0,0,0,0,8
349,Gabbiadini,SOU,F,6.0,1,18,5.0,0.83,0,0,0,0,3,1.0,0,0,0,0,0,0,20
348,Austin,SOU,F,6.0,2,71,2.54,0.42,0,0,1,0,5,2.0,0,0,0,0,0,0,20
247,Robertson,LIV,D,6.0,11,90,11.0,1.83,0,1,1,2,41,11.0,0,0,0,0,0,0,14
46,Defoe,BOU,F,6.0,1,1,90.0,15.0,0,0,0,0,3,1.0,0,0,0,0,0,0,91
355,Vertonghen,TOT,D,6.0,11,90,11.0,1.83,1,0,0,3,35,11.0,1,0,0,0,0,0,6
149,Townsend,CRY,M,6.0,3,87,3.1,0.52,0,0,1,0,9,3.0,0,0,0,0,0,0,31
282,De Gea,MUN,GK,6.0,3,90,3.0,0.5,0,0,0,0,15,3.0,1,0,0,3,0,0,1
359,Sánchez,TOT,D,6.0,5,90,5.0,0.83,0,1,0,0,24,5.0,1,0,0,0,0,0,6
360,Aurier,TOT,D,6.0,5,90,5.0,0.83,0,1,0,0,22,5.0,1,0,0,0,0,0,6
246,van Dijk,LIV,D,6.0,6,90,6.0,1.0,0,0,1,0,29,6.0,0,0,0,0,0,0,14
