assists,games,goals,understat_id,key_passes,npg,npxG,name,position,red_cards,shots,team,minutes,xA,xG,xGBuildup,xGChain,yellow_cards,xG90,xA90
0,1,2,838,2,2,0.96,Sadio Mané,F,0,4,LIV,84,0.12,0.96,0.8,1.82,0,1.03,0.13
0,1,2,6026,0,2,0.6,Richarlison,M,0,2,EVE,89,0.0,0.6,0.0,0.06,1,0.61,0.0
0,1,2,1723,1,2,0.27,Roberto Pereyra,M,0,4,WAT,89,0.32,0.27,0.16,0.71,0,0.27,0.33
0,1,1,757,0,1,0.1,Jeffrey Schlupp,M,0,1,CRY,90,0.0,0.1,0.07,0.18,1,0.1,0.0
1,1,1,6853,1,1,0.14,Rúben Neves,M,0,3,WOL,90,0.27,0.14,0.36,0.65,0,0.14,0.27
0,1,1,4105,1,1,0.63,Raúl Jiménez,F,0,3,WOL,90,0.02,0.63,0.0,0.65,0,0.63,0.02
0,1,1,3635,0,1,0.11,Bernardo Silva,M,0,1,MCI,90,0.0,0.11,0.69,0.79,0,0.11,0.0
0,1,1,1683,3,1,0.55,Ryan Fraser,M,0,2,BOU,90,0.47,0.55,0.0,0.76,0,0.55,0.47
0,1,1,1389,0,0,0.0,Jorginho,M,0,1,CHE,90,0.0,0.76,0.05,0.05,0,0.76,0.0
0,1,1,1250,2,1,1.55,Mohamed Salah,F,0,4,LIV,89,0.13,1.55,0.0,1.61,0,1.57,0.13
0,1,1,1006,1,1,0.16,Luke Shaw,D,0,2,MUN,90,0.04,0.16,0.04,0.2,0,0.16,0.04
0,1,1,866,2,1,0.56,Joselu,F,0,2,NEW,61,0.01,0.56,0.0,0.57,1,0.83,0.02
0,1,1,1740,0,0,0.02,Paul Pogba,M,0,2,MUN,85,0.0,0.78,0.3,0.32,0,0.83,0.0
0,1,1,755,1,1,1.23,Jamie Vardy,S,0,2,LEI,26,0.1,1.23,0.0,1.33,0,4.26,0.34
0,1,1,687,1,1,0.28,Pedro,F,0,1,CHE,82,0.06,0.28,0.15,0.49,0,0.31,0.06
0,1,1,645,0,1,0.58,Dele Alli,M,0,2,TOT,82,0.0,0.58,0.13,0.71,0,0.64,0.0
0,1,1,640,0,1,0.51,Jan Vertonghen,D,0,1,TOT,90,0.0,0.51,0.56,0.56,0,0.51,0.0
0,1,1,618,1,1,0.2,Raheem Sterling,M,0,3,MCI,90,0.07,0.2,0.11,0.38,1,0.2,0.07
0,1,1,522,0,1,0.61,Wilfried Zaha,F,0,3,CRY,90,0.0,0.61,0.13,0.73,1,0.61,0.0
0,1,1,483,0,1,0.76,Daniel Sturridge,S,0,2,LIV,1,0.0,0.76,0.0,0.08,0,68.74,0.0
0,1,1,751,0,1,0.1,N&#039;Golo Kanté,M,0,1,CHE,90,0.0,0.1,0.05,0.15,0,0.1,0.0
1,1,1,468,1,1,0.8,Callum Wilson,F,0,6,BOU,90,0.51,1.56,0.21,0.95,0,1.56,0.51
0,1,0,3304,0,0,0.0,Maxime Le Marchand,D,0,0,FUL,90,0.0,0.0,0.02,0.02,0,0.0,0.0
1,1,0,3600,1,0,0.06,Serge Aurier,D,0,1,TOT,90,0.43,0.06,0.56,0.62,0,0.06,0.43
0,1,0,3428,0,0,0.04,Hélder Costa,F,0,2,WOL,74,0.0,0.04,0.0,0.04,0,0.05,0.0
